Job title,Company name,Locations name,Skills,links
Durpal Engineer,Algoriza -,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · HTML · CSS · javascript,/jobs/p/SmKGVxyrJNXV-Durpal-Engineer-Algoriza-Cairo-Egypt?o=1&l=sp&t=sj&a=html|search-v3|navbg
Backend Developer,RAQAMYAT -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · HTML5 · PHP · Laravel · Software Engineering · JavaScript · jQuery · MVC,/jobs/p/HY2DlJhPFMbX-Backend-Developer-RAQAMYAT-Cairo-Egypt?o=2&l=sp&t=sj&a=html|search-v3|navbg
Software Engineer/Front-end,Paymint -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Front end · Git · HTML · Information Technology (IT) · JavaScript · jQuery,/jobs/p/MuOgoeGFibt8-Software-EngineerFront-end-Paymint-Cairo-Egypt?o=3&l=sp&t=sj&a=html|search-v3|navbg
React Native Lead,Ejada  -,"Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React Native · AngularJS · Vue.js · HTML5 · CSS · JavaScript · MVC Architecture · REST,/jobs/p/7IXg9sBhBQy0-React-Native-Lead-Ejada-Cairo-Cairo-Egypt?o=4&l=sp&t=sj&a=html|search-v3|navbg
Senior React Native Developer,Ejada  -,"Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React Native · AngularJS · Vue.js · HTML5 · CSS · JavaScript · MVC Architecture · REST,/jobs/p/rhcy3qcQdQmW-Senior-React-Native-Developer-Ejada-Cairo-Cairo-Egypt?o=5&l=sp&t=sj&a=html|search-v3|navbg
Frontend developer,almentor -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · HTML · CSS · JavaScript · jQuery · Information Technology (IT) · Angular · HTML5,/jobs/p/4BALAyElYmEL-Frontend-developer-almentor-Cairo-Egypt?o=6&l=sp&t=sj&a=html|search-v3|navbg
Senior Backend Developer (.Net),Confidential -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · .Net Framework · Microsoft .Net Framework · .Net Development · MVC · MVC Architecture · ASP.Net · ASP.NET Core,/jobs/p/fvjOMwOLkmOd-Senior-Backend-Developer-Net-Cairo-Egypt?o=7&l=sp&t=sj&a=html|search-v3|navbg
PHP Developer,"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Science · HTML · Information Technology (IT) · JavaScript · MySQL · PHP · Software Development,/jobs/p/5T700xpsr9cm-PHP-Developer-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt?o=8&l=sp&t=sj&a=html|search-v3|navbg
Full Stack Developer (PHP),Confidential -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · HTML · Information Technology (IT) · jQuery · Software Development · PHP · SQL,/jobs/p/2UUHLY3mumUD-Full-Stack-Developer-PHP-Cairo-Egypt?o=9&l=sp&t=sj&a=html|search-v3|navbg
Senior Front-End Developer,ZE LOGIC -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · CSS · JavaScript · HTML · Engineering · Computer Engineering · Redux · Front-End Development,/jobs/p/lnL5TyMC4he3-Senior-Front-End-Developer-ZE-LOGIC-Giza-Egypt?o=10&l=sp&t=sj&a=html|search-v3|navbg
Full Stack .NET Developer,Luftborn -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · .Net · Full Stack Development · APIs · OOP · Angular · Azure · JavaScript,/jobs/p/q7waKj2sHl8H-Full-Stack-NET-Developer-Luftborn-Cairo-Egypt?o=11&l=sp&t=sj&a=html|search-v3|navbg
Mendix Developer,Confidential -,"Dubai, United Arab Emirates ","Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · mendix, · JavaScript · HTML · CSS · Java · SQL · Mobile Application Development · Software Development",/jobs/p/24FwWoPldHFi-Mendix-Developer-Dubai-United-Arab-Emirates?o=12&l=sp&t=sj&a=html|search-v3|navbg
Software Developer (.Net),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Web Development · Dynamics · Microsoft Dynamics · AX · X++ · ASP.NET · .NET,/jobs/p/ybrid6NVozfa-Software-Developer-Net-BI-Technologies-Cairo-Egypt?o=13&l=sp&t=sj&a=html|search-v3|navbg
Senior Back-End Software Developer (.Net Core),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · ASP.NET · SQL · javaScript · jQuery,/jobs/p/x0DSlRJTmrzm-Senior-Back-End-Software-Developer-Net-Core-BI-Technologies-Cairo-Egypt?o=14&l=sp&t=sj&a=html|search-v3|navbg
